id,dua_id,section_index,arabic_REF,translation_en,transliteration_en,translation_ace,transliteration_ace,translation_af,transliteration_af,translation_am,transliteration_am,translation_as,transliteration_as,translation_az,transliteration_az,translation_bg,transliteration_bg,translation_bn,transliteration_bn,translation_bs,transliteration_bs,translation_ca,transliteration_ca,translation_ceb,transliteration_ceb,translation_ckb,transliteration_ckb,translation_cs,transliteration_cs,translation_da,transliteration_da,translation_de,transliteration_de,translation_el,transliteration_el,translation_et,transliteration_et,translation_fa,transliteration_fa,translation_fi,transliteration_fi,translation_fil,transliteration_fil,translation_fr,transliteration_fr,translation_ga,transliteration_ga,translation_gu,transliteration_gu,translation_ha,transliteration_ha,translation_he,transliteration_he,translation_hi,transliteration_hi,translation_hr,transliteration_hr,translation_ht,transliteration_ht,translation_hu,transliteration_hu,translation_hy,transliteration_hy,translation_id,transliteration_id,translation_ig,transliteration_ig,translation_is,transliteration_is,translation_it,transliteration_it,translation_ja,transliteration_ja,translation_jv,transliteration_jv,translation_ka,transliteration_ka,translation_kk,transliteration_kk,translation_km,transliteration_km,translation_kn,transliteration_kn,translation_ko,transliteration_ko,translation_ku,transliteration_ku,translation_ky,transliteration_ky,translation_lb,transliteration_lb,translation_lo,transliteration_lo,translation_lt,transliteration_lt,translation_lv,transliteration_lv,translation_mad,transliteration_mad,translation_mg,transliteration_mg,translation_min,transliteration_min,translation_mk,transliteration_mk,translation_ml,transliteration_ml,translation_mn,transliteration_mn,translation_mr,transliteration_mr,translation_ms,transliteration_ms,translation_mt,transliteration_mt,translation_my,transliteration_my,translation_ne,transliteration_ne,translation_nl,transliteration_nl,translation_no,transliteration_no,translation_ny,transliteration_ny,translation_or,transliteration_or,translation_pa,transliteration_pa,translation_pl,transliteration_pl,translation_ps,transliteration_ps,translation_pt,transliteration_pt,translation_ro,transliteration_ro,translation_rw,transliteration_rw,translation_si,transliteration_si,translation_sk,transliteration_sk,translation_sl,transliteration_sl,translation_so,transliteration_so,translation_sq,transliteration_sq,translation_sr,transliteration_sr,translation_st,transliteration_st,translation_sv,transliteration_sv,translation_sw,transliteration_sw,translation_ta,transliteration_ta,translation_te,transliteration_te,translation_th,transliteration_th,translation_ti,transliteration_ti,translation_tl,transliteration_tl,translation_tr,transliteration_tr,translation_uk,transliteration_uk,translation_ur,transliteration_ur,translation_uz,transliteration_uz,translation_vi,transliteration_vi,translation_yo,transliteration_yo,translation_yue,transliteration_yue,translation_zh,transliteration_zh,translation_zu,transliteration_zu
tasbih_zahra__0,tasbih_zahra,0,"اللَّهُ أَكْبَرُ × ٣٤
الْحَمْدُ لِلَّهِ × ٣٣
سُبْحَانَ اللَّهِ × ٣٣","Allah is the Greatest × 34
All praise belongs to Allah × 33
Glory be to Allah × 33","Allāhu Akbar × 34
Alḥamdu lillāh × 33
Subḥāna-llāh × 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tasbih_zahra__1,tasbih_zahra,1,,"The Holy Prophet (SAW) taught this dhikr to his beloved daughter Fatima al-Zahra (SA) when she asked for a servant to ease her household burdens. He told her: ""This tasbih is better for you than a servant, better than the world and all that is in it."" Imam al-Sadiq (AS) said that reciting it before sleep is more beloved to him than a thousand rak'at of prayer. Begin with Allāhu Akbar (34 times), then Alḥamdulillāh (33 times), then Subḥānallāh (33 times). This is the order established by Imam al-Baqir (AS) and confirmed by all Shia scholars.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dua_kumayl__0,dua_kumayl,0,"اَللَّهُمَّ إِنِّي أَسْأَلُكَ بِرَحْمَتِكَ الَّتِي وَسِعَتْ كُلَّ شَيْءٍ
وَبِقُوَّتِكَ الَّتِي قَهَرْتَ بِهَا كُلَّ شَيْءٍ
وَخَضَعَ لَهَا كُلُّ شَيْءٍ وَذَلَّ لَهَا كُلُّ شَيْءٍ","O Allah, I ask You by Your mercy that encompasses all things,
and by Your power by which You have subdued all things,
and before which all things bow in humility and submission.","Allāhumma innī as'aluka bi-raḥmatika-llatī wasi'at kulla shay'in
wa bi-quwwatika-llatī qahharta bihā kulla shay'in
wa khaḍa'a lahā kullu shay'in wa dhalla lahā kullu shay'in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dua_kumayl__1,dua_kumayl,1,"اَللَّهُمَّ اغْفِرْ لِيَ الذُّنُوبَ الَّتِي تَهْتِكُ الْعِصَمَ
اَللَّهُمَّ اغْفِرْ لِيَ الذُّنُوبَ الَّتِي تُنْزِلُ النِّقَمَ
اَللَّهُمَّ اغْفِرْ لِيَ الذُّنُوبَ الَّتِي تَحْبِسُ الدُّعَاءَ
اَللَّهُمَّ اغْفِرْ لِيَ الذُّنُوبَ الَّتِي تَقْطَعُ الرَّجَاءَ","O Allah, forgive me the sins that tear away [the veil of] my protection,
O Allah, forgive me the sins that bring down adversity,
O Allah, forgive me the sins that withhold the answer to supplication,
O Allah, forgive me the sins that cut off hope.","Allāhumma-ghfir liya-dhunūba-llatī tahtiku-l-'iṣam
Allāhumma-ghfir liya-dhunūba-llatī tunzilu-n-niqam
Allāhumma-ghfir liya-dhunūba-llatī taḥbisu-d-du'ā'a
Allāhumma-ghfir liya-dhunūba-llatī taqṭa'u-r-rajā'a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dua_kumayl__2,dua_kumayl,2,"فَأَسْأَلُكَ بِعِزَّتِكَ أَنْ لَا يَحْجُبَ عَنْكَ دُعَائِي سُوءُ عَمَلِي وَفِعَالِي
وَلَا تَفْضَحْنِي بِخَفِيِّ مَا اطَّلَعْتَ عَلَيْهِ مِنْ سِرِّي
وَلَا تُعَاجِلْنِي بِالْعُقُوبَةِ عَلَى مَا عَمِلْتُهُ فِي خَلَوَاتِي","I ask You by Your might that the evil of my deeds and actions not veil my supplication from You,
and do not expose me for what You know of my secrets,
and do not hasten to punish me for what I have done in my private moments.","Fa-as'aluka bi-'izzatika an lā yaḥjuba 'anka du'ā'ī sū'u 'amalī wa fi'ālī
walā tafḍaḥnī bi-khafiyyi mā-ṭṭala'ta 'alayhi min sirrī
walā tu'ājilnī bi-l-'uqūbati 'alā mā 'amiltuhu fī khalawātī",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dua_kumayl__3,dua_kumayl,3,"فَهَبْنِي يَا إِلَهِي وَسَيِّدِي وَمَوْلَايَ وَرَبِّي
صَبَرْتُ عَلَى عَذَابِكَ فَكَيْفَ أَصْبِرُ عَلَى فِرَاقِكَ
وَهَبْنِي صَبَرْتُ عَلَى حَرِّ نَارِكَ فَكَيْفَ أَصْبِرُ عَنِ النَّظَرِ إِلَى كَرَامَتِكَ","Even if, my God, my Master, my Lord, my Sustainer,
I were to endure Your punishment — how could I endure separation from You?
Even if I endured the heat of Your fire — how could I endure being denied the sight of Your generosity?","Fa-habnī yā Ilāhī wa sayyidī wa mawlāya wa rabbī
ṣabartu 'alā 'adhābika fa-kayfa aṣbiru 'alā firāqika
wa habnī ṣabartu 'alā ḥarri nārika fa-kayfa aṣbiru 'ani-n-naẓari ilā karāmatika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dua_kumayl__4,dua_kumayl,4,"يَا غَيَاثَ الْمُسْتَغِيثِينَ
يَا غِيَاثِي فَأَغِثْنِي
يَا مُجِيبَ الْمُضْطَرِّينَ
يَا وَلِيِّي فَاكْفِنِي مَا أَهَمَّنِي
بِرَحْمَتِكَ يَا أَرْحَمَ الرَّاحِمِينَ","O succour of those who seek succour!
O my succour — come to my aid!
O Answerer of the distressed!
O my Guardian — suffice me in what troubles me,
by Your mercy, O Most Merciful of the merciful.","Yā ghiyātha-l-mustaghīthīn
Yā ghiyāthī fa-aghithnī
Yā mujība-l-muḍṭarrīn
Yā waliyyī fa-kfinī mā ahammani
Bi-raḥmatika yā arḥama-r-rāḥimīn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dua_nudbah__0,dua_nudbah,0,"اَلْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ
وَصَلَّى اللَّهُ عَلَى سَيِّدِنَا مُحَمَّدٍ نَبِيِّهِ وَآلِهِ
وَسَلَّمَ تَسْلِيمًا","All praise is for Allah, Lord of the worlds.
And may Allah send blessings upon our master Muhammad, His Prophet, and his family,
and send peace — a complete and perfect peace.","Al-ḥamdu lillāhi rabbi-l-'ālamīn
Wa ṣallā-llāhu 'alā sayyidinā Muḥammadin nabiyyihi wa ālih
Wa sallama taslīmā",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dua_nudbah__1,dua_nudbah,1,"حَتَّى إِذَا اسْتَكْمَلْتَ لَهُ مُدَّتَهُ
وَأَرَدْتَ قَبْضَهُ إِلَيْكَ
وَكُنْتَ أَنْتَ الْوَارِثُ لِمَا أَوْدَعْتَهُ
أَقَامَ بِأَمْرِكَ عَلِيًّا عَلَمًا لِخَلْقِكَ
وَاسْتَوْدَعَهُ سِرَّكَ وَعِلْمَكَ وَحِكْمَتَكَ","Until, when You had completed his allotted time
and willed to gather him back to You,
and You alone are the Inheritor of all You had deposited with him —
he raised Ali, by Your command, as a banner for Your creation,
and entrusted him with Your secret, Your knowledge, and Your wisdom.","Ḥattā idha-stakmalat lahu muddatahu
wa aradta qabḍahu ilayk
wa kunta anta-l-wārithu limā awda'tahu
aqāma bi-amrika 'Aliyyan 'alaman li-khalqika
wa-stawda'ahu sirraka wa 'ilmaka wa ḥikmataka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dua_nudbah__2,dua_nudbah,2,"أَيْنَ الْمُدَّخَرُ لِيَوْمِ الْفَقْرِ وَالْحَاجَةِ
أَيْنَ الْمُنْتَظَرُ لِإِقَامَةِ الْأَمْتِ وَالْعِوَجِ
أَيْنَ الْمُرْتَجَى لِإِزَالَةِ الْجَوْرِ وَالْعُدْوَانِ
أَيْنَ الْمُدَّخَرُ لِتَجْدِيدِ الْفَرَائِضِ وَالسُّنَنِ","Where is the one preserved for the day of poverty and need?
Where is the one awaited to straighten the crooked and deviant?
Where is the one hoped-for to remove oppression and aggression?
Where is the one kept in store to renew the obligations and traditions?","Ayna-l-muddakharu li-yawmi-l-faqri wa-l-ḥājah
Ayna-l-muntaẓaru li-iqāmati-l-amti wa-l-'iwaj
Ayna-l-murtajā li-izālati-l-jawri wa-l-'udwān
Ayna-l-muddakharu li-tajdīdi-l-farā'iḍi wa-s-sunan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dua_nudbah__3,dua_nudbah,3,"عَزِيزٌ عَلَيَّ أَنْ أَرَى الْخَلْقَ وَلَا تُرَى
وَلَا أَسْمَعُ لَكَ حَسِيسًا وَلَا نَجْوَى
عَزِيزٌ عَلَيَّ أَنْ تُحِيطَ بِكَ دُونِي الْبَلْوَى
عَزِيزٌ عَلَيَّ أَنْ يَجْرِيَ عَلَيْكَ مَا جَرَى
هَلْ مِنْ مُعِينٍ فَأُطِيلَ مَعَهُ الْعَوِيلَ وَالْبُكَاءَ","It is painful for me that I see creation, yet you are not seen —
and I do not hear from you even a whisper or a secret exchange.
It is painful for me that trials surround you while I am here.
It is painful for me that what has happened to you has happened.
Is there anyone to help me so I may prolong my mourning and weeping?","'Azīzun 'alayya an ara-l-khalqa wa lā turā
wa lā asma'u laka ḥasīsan wa lā najwā
'Azīzun 'alayya an tuḥīṭa bika dūnī-l-balwā
'Azīzun 'alayya an yajriya 'alayka mā jarā
Hal min mu'īnin fa-uṭīla ma'ahu-l-'awīla wa-l-bukā'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dua_tawassul__0,dua_tawassul,0,"اَللَّهُمَّ إِنِّي أَسْأَلُكَ وَأَتَوَجَّهُ إِلَيْكَ
بِنَبِيِّكَ نَبِيِّ الرَّحْمَةِ مُحَمَّدٍ صَلَّى اللَّهُ عَلَيْهِ وَآلِهِ
يَا أَبَا الْقَاسِمِ يَا رَسُولَ اللَّهِ
يَا إِمَامَ الرَّحْمَةِ يَا سَيِّدَنَا وَمَوْلَانَا
إِنَّا تَوَجَّهْنَا وَاسْتَشْفَعْنَا وَتَوَسَّلْنَا بِكَ إِلَى اللَّهِ","O Allah, I ask You and turn to You
through Your Prophet, the Prophet of mercy, Muhammad (SAW).
O Abu al-Qasim! O Messenger of Allah!
O Imam of mercy! O our master and our guardian!
We have turned to you, sought your intercession, and used you as our means to Allah.","Allāhumma innī as'aluka wa atawajjahu ilayka
bi-nabiyyika nabiyyi-r-raḥmati Muḥammadin ṣalla-llāhu 'alayhi wa ālih
Yā Aba-l-Qāsim yā Rasūla-llāh
Yā imāma-r-raḥma yā sayyidanā wa mawlānā
Innā tawajjahnā wa-stashfa'nā wa tawassalnā bika ila-llāh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
