id,order,arabic_REF,imam_REF,source_REF,english_en,english_ace,english_af,english_am,english_as,english_az,english_bg,english_bn,english_bs,english_ca,english_ceb,english_ckb,english_cs,english_da,english_de,english_el,english_et,english_fa,english_fi,english_fil,english_fr,english_ga,english_gu,english_ha,english_he,english_hi,english_hr,english_ht,english_hu,english_hy,english_id,english_ig,english_is,english_it,english_ja,english_jv,english_ka,english_kk,english_km,english_kn,english_ko,english_ku,english_ky,english_lb,english_lo,english_lt,english_lv,english_mad,english_mg,english_min,english_mk,english_ml,english_mn,english_mr,english_ms,english_mt,english_my,english_ne,english_nl,english_no,english_ny,english_or,english_pa,english_pl,english_ps,english_pt,english_ro,english_rw,english_si,english_sk,english_sl,english_so,english_sq,english_sr,english_st,english_sv,english_sw,english_ta,english_te,english_th,english_ti,english_tl,english_tr,english_uk,english_ur,english_uz,english_vi,english_yo,english_yue,english_zh,english_zu
hadith_thaqalayn,1,إِنِّي تَارِكٌ فِيكُمُ الثَّقَلَيْنِ: كِتَابَ اللهِ وَعِتْرَتِي أَهْلَ بَيْتِي,Prophet Muhammad (SAW),Hadith al-Thaqalayn,I am leaving among you two weighty things: the Book of Allah and my Ahlul Bayt. They will never separate until they meet me at the Pond of Kawthar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_ilm_mal,2,الْعِلْمُ خَيْرٌ مِنَ الْمَالِ، الْعِلْمُ يَحْرُسُكَ وَأَنْتَ تَحْرُسُ الْمَالَ,Imam Ali ibn Abi Talib (AS),Nahj al-Balagha,"Knowledge is better than wealth. Knowledge guards you, while you must guard wealth. Wealth decreases with spending, but knowledge only grows.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_husayn_rise,3,لَمْ أَخْرُجْ أَشِراً وَلا بَطِراً، وَإِنَّمَا خَرَجْتُ لِطَلَبِ الإِصْلاحِ فِي أُمَّةِ جَدِّي,Imam Husayn ibn Ali (AS),"Maqtal al-Husayn, al-Muqarram","I did not rise out of arrogance or corruption. I rose only to seek reform in the nation of my grandfather, the Prophet (SAW).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_best_deeds,4,أَفْضَلُ الأَعْمَالِ إِدْخَالُ السُّرُورِ عَلَى قَلْبِ الْمُؤْمِنِ,Imam Ja'far al-Sadiq (AS),"al-Kafi, vol. 2","The best of deeds is to bring joy to the heart of a believer — to satisfy his hunger, relieve his worry, or pay off his debt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_worship_as_seeing,5,اعْبُدِ اللهَ كَأَنَّكَ تَرَاهُ، فَإِنْ لَمْ تَكُنْ تَرَاهُ فَإِنَّهُ يَرَاكَ,Imam Ali ibn Husayn al-Sajjad (AS),Sahifa al-Sajjadiyya,"Worship Allah as though you see Him; even if you cannot see Him, He surely sees you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_patience_head,6,الصَّبْرُ مِنَ الإِيمَانِ بِمَنْزِلَةِ الرَّأْسِ مِنَ الْجَسَدِ,Imam Musa al-Kadhim (AS),Bihar al-Anwar,"Patience is to faith what the head is to the body. A body without a head perishes, and so does faith without patience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_iman_heart_tongue,7,الإِيمَانُ إِقْرَارٌ بِالْقَلْبِ وَإِقْرَارٌ بِاللِّسَانِ وَعَمَلٌ بِالأَرْكَانِ,Imam Ali al-Ridha (AS),Uyun Akhbar al-Ridha,"Faith is acknowledgment with the heart, confession with the tongue, and action with the limbs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_tawakkul_ladder,8,التَّوَكُّلُ عَلَى اللهِ ثَمَنٌ لِكُلِّ غَالٍ وَسُلَّمٌ إِلَى كُلِّ عَالٍ,Imam Muhammad al-Jawad (AS),Bihar al-Anwar,Reliance on Allah is the price of every precious thing and the ladder to every elevated station.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_dunya_marketplace,9,الدُّنْيَا سُوقٌ رَبِحَ فِيهَا قَوْمٌ وَخَسِرَ آخَرُونَ,Imam Ali al-Hadi (AS),Tuhaf al-Uqul,"The world is a marketplace: some people profit from it, while others incur loss.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_taqwa_treasure,10,التَّقْوَى شَرَفٌ وَالْعِلْمُ كَنْزٌ وَالصَّمْتُ نُورٌ,Imam Hasan al-Askari (AS),Bihar al-Anwar,"Piety is an honor, knowledge is a treasure, silence is a light, and the peak of worship is modesty and contentment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_mahdi_caring,11,إِنَّا غَيْرُ مُهْمِلِينَ لِمُرَاعَاتِكُمْ وَلا نَاسِينَ لِذِكْرِكُمْ,Imam Muhammad al-Mahdi (AJ),"Bihar al-Anwar, Tawqi' al-Mahdi","We are not neglectful of your affairs, nor forgetful of your remembrance. Were it not for that, hardships would descend upon you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_best_family,12,خَيْرُكُمْ خَيْرُكُمْ لأَهْلِهِ,Prophet Muhammad (SAW),Bihar al-Anwar,The best of you is the best among his family.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_person_under_tongue,13,الْمَرْءُ مَخْبُوءٌ تَحْتَ لِسَانِهِ,Imam Ali ibn Abi Talib (AS),Nahj al-Balagha,"A person is hidden beneath his tongue. Speak, and you will be known.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_calamity_patience,14,الْمُصِيبَةُ لِلصَّابِرِ وَاحِدَةٌ وَلِلْجَازِعِ اثْنَتَانِ,Imam Husayn ibn Ali (AS),Bihar al-Anwar,"A calamity for the patient person is one; but for the impatient, it is two — the calamity itself and the loss of patience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_right_of_mother,15,حَقُّ أُمِّكَ أَنْ تَعْلَمَ أَنَّهَا حَمَلَتْكَ حَيْثُ لا يَحْمِلُ أَحَدٌ أَحَداً,Imam Ali ibn Husayn al-Sajjad (AS),Risalat al-Huquq,"The right of your mother upon you is that you know: she carried you as no one carries another, and nourished you from the fruit of her heart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_recitation_reflection,16,لا خَيْرَ فِي قِرَاءَةٍ لَيْسَ فِيهَا تَدَبُّرٌ,Imam Muhammad al-Baqir (AS),"al-Kafi, vol. 2",There is no good in recitation without reflection and understanding of what is being recited.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_guard_tongue,17,احْفَظْ لِسَانَكَ كَمَا تَحْفَظُ ذَهَبَكَ وَفِضَّتَكَ,Imam Ja'far al-Sadiq (AS),"al-Kafi, vol. 2","Guard your tongue as you guard your gold and silver, for many have been destroyed by a word carelessly spoken.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_wise_deals_wisely,18,أَعْقَلُ النَّاسِ أَحْسَنُهُمْ مُدَارَاةً لِلنَّاسِ,Imam Musa al-Kadhim (AS),Bihar al-Anwar,The most intelligent of people is the one who deals with others most wisely and with the most patience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_good_character_half_intellect,19,مَنْ حَسُنَ خُلُقُهُ كَمَلَ نِصْفُ عَقْلِهِ,Imam Ali al-Ridha (AS),Bihar al-Anwar,One who has a good character has completed half of his intellect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_three_things_rida,20,ثَلاثٌ يُبَلِّغْنَ بِالْعَبْدِ رِضَا اللهِ: كَثْرَةُ الاسْتِغْفَارِ وَلِينُ الجَانِبِ وَكَثْرَةُ الصَّدَقَةِ,Imam Muhammad al-Jawad (AS),Bihar al-Anwar,"Three things bring the servant to the pleasure of Allah: abundant seeking of forgiveness, gentleness in dealings, and frequent charity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_do_not_seek_wrongdoer,21,لا تَسْتَعِنْ بِمَنْ ظَلَمَ نَفْسَهُ,Imam Ali al-Hadi (AS),Bihar al-Anwar,Do not seek the aid of one who has wronged himself — for one who cannot be just to himself cannot be just to others.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_signs_faqih,22,مِنْ عَلامَاتِ الْفَقِيهِ: الْحِلْمُ وَالْعِلْمُ وَالصَّمْتُ,Imam Hasan al-Askari (AS),Bihar al-Anwar,"Among the signs of true understanding are: forbearance, love of knowledge, and deliberate silence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_fatima_faith_prayer_zakat,23,جَعَلَ اللهُ الإِيمَانَ تَطْهِيراً مِنَ الشِّرْكِ وَالصَّلاةَ تَنْزِيهاً عَنِ الكِبْرِ,Lady Fatima Zahra (SA),Khutbat Fadak,"Allah has made faith a purification from polytheism, prayer a purification from pride, and zakat a purification of the soul and wealth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_strongest_controls_anger,24,أَشَدُّكُمْ مَنْ غَلَبَ نَفْسَهُ عِنْدَ الْغَضَبِ,Prophet Muhammad (SAW),Bihar al-Anwar,The strongest among you is the one who controls himself in anger.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_cure_ignorance_ask,25,دَوَاءُ الْجَهْلِ السُّؤَالُ,Imam Ali ibn Abi Talib (AS),Nahj al-Balagha,The cure for ignorance is to ask. Do not be too proud to seek knowledge from those who have it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_believer_one_body,26,الْمُؤْمِنُ أَخُو الْمُؤْمِنِ كَالْجَسَدِ الْوَاحِدِ,Imam Muhammad al-Baqir (AS),"al-Kafi, vol. 2","The believer is the brother of the believer, like a single body — if one part suffers, all other parts respond with sleeplessness and fever.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_maintain_forgive,27,صِلْ مَنْ قَطَعَكَ وَأَعْطِ مَنْ حَرَمَكَ وَاعْفُ عَمَّنْ ظَلَمَكَ,Imam Ja'far al-Sadiq (AS),Tuhaf al-Uqul,Maintain ties with those who sever theirs; give to those who deprive you; and forgive those who wrong you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_repentance_three,28,التَّوْبَةُ النَّدَمُ بِالْقَلْبِ وَالاسْتِغْفَارُ بِاللِّسَانِ وَالتَّرْكُ بِالْجَوَارِحِ,Imam Muhammad al-Baqir (AS),al-Kafi,"True repentance is remorse in the heart, seeking forgiveness with the tongue, and abstaining from sin with the limbs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_account_yourself_daily,29,لَيْسَ مِنَّا مَنْ لَمْ يُحَاسِبْ نَفْسَهُ فِي كُلِّ يَوْمٍ,Imam Ali ibn Husayn al-Sajjad (AS),Bihar al-Anwar,"He is not of us who does not hold himself to account every single day — examining his deeds, intentions, and heart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_knowledge_obligation,30,طَلَبُ الْعِلْمِ فَرِيضَةٌ عَلَى كُلِّ مُسْلِمٍ,Prophet Muhammad (SAW),Bihar al-Anwar,The seeking of knowledge is an obligation upon every Muslim — man and woman alike.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_worth_what_you_do_well,31,قِيمَةُ كُلِّ امْرِئٍ مَا يُحْسِنُهُ,Imam Ali ibn Abi Talib (AS),Nahj al-Balagha,The worth of every person lies in what he does well. Invest in what you master and offer it to the world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_opponent_oppressor,32,كُنْ لِلظَّالِمِ خَصْماً وَلِلْمَظْلُومِ عَوْناً,Imam Ali ibn Abi Talib (AS),Nahj al-Balagha,Be an opponent to the oppressor and a helper to the oppressed — regardless of who they are.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_finest_character,33,إِنَّ أَحَبَّكُمْ إِلَى اللهِ أَحْسَنُكُمْ أَخْلاقاً,Prophet Muhammad (SAW),Bihar al-Anwar,"The most beloved of you to Allah is the one with the finest character — gentle in speech, patient in trials, and generous in giving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_no_hope_without_work,34,لا تَكُنْ مِمَّنْ يَرْجُو الآخِرَةَ بِغَيْرِ عَمَلٍ,Imam Ali ibn Abi Talib (AS),Nahj al-Balagha,"Do not be among those who hope for the next life without working for it, or who delay repentance because of long hopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_honor_children,35,أَكْرِمُوا أَوْلادَكُمْ وَأَحْسِنُوا آدَابَهُمْ,Prophet Muhammad (SAW),Bihar al-Anwar,"Honor your children and cultivate their character well, for they are a trust from Allah placed in your hands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_know_your_faults,36,كَفَى بِالنَّفْسِ عِلْماً أَنْ تَعْرِفَ عُيُوبَهَا,Imam Ali ibn Abi Talib (AS),Ghurar al-Hikam,It is sufficient self-knowledge to recognize one's own faults — before pointing to the faults of others.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
